track_id,track_name,artist(s)_name,artist_count,released_year,in_spotify_charts,streams,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,total_playlists,bpm_category,danceability_%_category,valence_%_category,energy_%_category,acousticness_%_category,instrumentalness_%_category,liveness_%_category,speechiness_%_category
7624098,S91,Karol G,1,2023,41,16011326,115,6,128,86,42,72,59,0,9,19,598,medium,high,medium,medium,high,low,low,high
2685773,cardigan,Taylor Swift,1,2020,29,812019557,112,4,130,61,53,58,55,0,27,4,8171,medium,medium,medium,medium,high,low,high,low
1849027,T��,"dennis, MC Kevin o Chris",2,2023,15,111947664,17,4,130,86,59,96,50,1,9,5,831,medium,high,medium,high,high,high,low,medium
1726395,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,41,156338624,84,14,133,70,86,81,25,0,25,5,5440,medium,medium,high,high,medium,low,high,medium
2577311,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,39,720434240,0,0,101,88,72,59,62,0,9,3,3149,medium,high,high,medium,high,low,low,low
3276282,BESO,"Rauw Alejandro, ROSAL�",2,2023,50,357925728,121,12,95,77,53,64,74,0,17,14,4317,low,medium,medium,medium,high,low,medium,high
1899106,Hey Mor,"Ozuna, Feid",2,2022,38,674072710,79,11,98,90,40,59,0,0,10,29,4789,low,high,medium,medium,low,low,low,high
4527090,Yellow,Chris Molitor,1,1999,43,1755214421,2,5,173,43,28,66,0,0,23,3,35607,high,low,low,medium,low,low,medium,low
7370086,Karma,Taylor Swift,1,2022,23,404562836,55,0,90,64,10,62,7,0,48,7,3887,low,medium,low,medium,medium,low,high,medium
4890110,People,Libianca,1,2022,56,373199958,64,8,198,59,71,42,55,0,10,7,3780,high,medium,high,low,high,low,low,medium
4487095,Overdrive,Post Malone,1,2023,36,14780425,32,1,140,56,48,73,0,0,35,4,477,medium,low,medium,medium,low,low,high,low
6801500,Enchanted (Taylor's Version),Taylor Swift,1,2023,24,39578178,93,2,82,51,22,53,1,0,15,3,188,low,low,low,low,low,low,medium,low
